# spectral wave data output
# [irregular wave components]
# nfreq 200
# ndir 0
# omega [rad/s]    a[m]       k[rad/m]        phi[rad]    theta[rad]
 5.68313E-01   8.76903E-02   3.33303E-02   2.27943E+01  -2.18669E-01
 5.68313E-01   5.84295E-01   3.33303E-02   3.44746E+01   2.18669E-01
 5.75279E-01   8.98914E-02   3.41055E-02  -8.15520E+00  -1.01220E+00
 5.75279E-01   2.35800E-01   3.41055E-02   6.60450E+00  -5.58599E-01
 5.75279E-01   8.80851E-02   3.41055E-02   4.04060E+01   5.58599E-01
 5.76978E-01   2.44083E-01   3.42966E-02   1.62941E+01  -3.21751E-01
 5.76978E-01   9.37079E-02   3.42966E-02   3.78466E+01   3.21751E-01
 5.88449E-01   3.68124E-01   3.56054E-02   1.44704E+01  -4.18224E-01
 5.88449E-01   1.54707E-01   3.56054E-02   4.35869E+01   4.18224E-01
 5.90030E-01   1.31796E-01   3.57885E-02  -2.44283E+00  -7.85398E-01
 5.93153E-01   2.01438E-01   3.61518E-02  -8.35010E+00  -9.27295E-01
 5.93153E-01   1.35732E-01   3.61518E-02   6.33395E+00  -6.43501E-01
 5.93153E-01   2.26962E-01   3.61518E-02   3.01351E+01  -0.00000E+00
 5.94695E-01   3.38417E-01   3.63321E-02   3.02963E+01  -9.96686E-02
 5.94695E-01   2.00787E-01   3.63321E-02   3.18925E+01   9.96686E-02
 5.99245E-01   3.43754E-01   3.68678E-02   2.54899E+01  -1.97396E-01
 5.99245E-01   1.05183E-01   3.68678E-02   3.64506E+01   1.97396E-01
 6.02219E-01   1.39184E-01   3.72206E-02   1.24881E+01  -5.07099E-01
 6.02219E-01   1.59258E-01   3.72206E-02   4.54902E+01   5.07099E-01
 6.06593E-01   3.32632E-01   3.77436E-02   4.28658E+01   2.91457E-01
 6.16427E-01   1.08100E-01   3.89367E-02   1.70790E+01  -3.80506E-01
 6.16427E-01   2.33902E-01   3.89367E-02   4.20882E+01   3.80506E-01
 6.17792E-01   1.32055E-01   3.91042E-02   4.65313E+01   5.88003E-01
 6.23159E-01   2.73125E-01   3.97670E-02   3.63295E+01  -0.00000E+00
